wbs_code,depth,name,spec,unit,qty,exec_rate,exec_cost,layer,prod_rate,est_days,wbs_path
1,1,직접공사비,,,0.0,0.0,6409408214.0,,,,직접공사비
1.1,2,토목공사,,,0.0,0.0,6404458214.0,,,,직접공사비 > 토목공사
1.1.1,3,토공사,,,0.0,0.0,6404458214.0,,,,직접공사비 > 토목공사 > 토공사
1.1.1.1,4,1-1. 토목 및 흙막이공사,,,0.0,0.0,6404458214.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사
1.1.1.1.1,5,1-1-1. 토공사,,,0.0,0.0,2893259700.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사
1.1.1.1.1.1,6,줄파기,,M,362.0,35000.0,12670000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 줄파기
1.1.1.1.1.2,6,터파기,매립토,M3,4375.0,3000.0,13125000.0,매립토,600,2,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 터파기
1.1.1.1.1.3,6,터파기,풍화토,M3,10808.0,4500.0,48636000.0,풍화토,585,3,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 터파기
1.1.1.1.1.4,6,터파기,풍화암,M3,1185.0,10000.0,11850000.0,풍화암,400,1,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 터파기
1.1.1.1.1.5,6,터파기,기반암(미진동발파 TYPE-1),M3,40545.0,38000.0,1540710000.0,기반암(미진동발파),30,194,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 터파기
1.1.1.1.1.6,6,터파기,기반암(할암공법 TYPE-1),M3,10056.0,73000.0,734088000.0,기반암(할암),30,48,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 터파기
1.1.1.1.1.7,6,크람쉘상차,기반암,M3,41234.0,3800.0,156689200.0,기반암,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 크람쉘상차
1.1.1.1.1.8,6,잔토처리,매립토,M3,4891.0,21000.0,102711000.0,매립토,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 잔토처리
1.1.1.1.1.9,6,잔토처리,풍화토,M3,10808.0,16000.0,172928000.0,풍화토,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 잔토처리
1.1.1.1.1.10,6,잔토처리,풍화암,M3,1185.0,11000.0,13035000.0,풍화암,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 잔토처리
1.1.1.1.1.11,6,측벽되메우기 및 다짐,양질토,M3,5083.0,6000.0,30498000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 측벽되메우기 및 다짐
1.1.1.1.1.12,6,성토,"양질토, L=20KM",M3,5649.0,5000.0,28245000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 성토
1.1.1.1.1.13,6,바닥정리,사면구간 제외,M2,4841.0,5500.0,26625500.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 바닥정리
1.1.1.1.1.14,6,법면보양,사면구간,M2,483.0,3000.0,1449000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-1. 토공사 > 법면보양
1.1.1.1.2,5,1-1-2. CIP공사,,,0.0,0.0,156547350.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사
1.1.1.1.2.1,6,C.I.P 천공,"토사, Φ500, T4",M,464.0,45000.0,20880000.0,토사,120,2,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > C.I.P 천공
1.1.1.1.2.2,6,C.I.P 천공,"풍화암, Φ600, T4",M,31.0,60000.0,1860000.0,풍화암,120,1,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > C.I.P 천공
1.1.1.1.2.3,6,케이싱 설치 및 해체,Φ500,M,1546.0,3000.0,4638000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > 케이싱 설치 및 해체
1.1.1.1.2.4,6,철근 현장가공 및 조립,간단,TON,43.74,200000.0,8748000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > 철근 현장가공 및 조립
1.1.1.1.2.5,6,철근망 건입,C.I.P,EA,398.0,30000.0,11940000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > 철근망 건입
1.1.1.1.2.6,6,C.I.P 속채움콘크리트 타설,철근,M3,954.0,15000.0,14310000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > C.I.P 속채움콘크리트 타설
1.1.1.1.2.7,6,C.I.P 면정리,,M2,1245.0,3500.0,4357500.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > C.I.P 면정리
1.1.1.1.2.8,6,CAP-BEAM 거푸집설치,합판6회,M2,180.0,20000.0,3600000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > CAP-BEAM 거푸집설치
1.1.1.1.2.9,6,CAP-BEAM 철근가공 및 조립,간단,TON,3.911,350000.0,1368850.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > CAP-BEAM 철근가공 및 조립
1.1.1.1.2.10,6,CAP-BEAM 타설,철근,M3,50.0,50000.0,2500000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > CAP-BEAM 타설
1.1.1.1.2.11,6,굴착토처리,토사,M3,898.0,24000.0,21552000.0,토사,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > 굴착토처리
1.1.1.1.2.12,6,굴착토처리,풍화암,M3,57.0,24000.0,1368000.0,풍화암,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > 굴착토처리
1.1.1.1.2.13,6,폐기물처리,상차 및 운반 포함,TON,185.0,35000.0,6475000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > 폐기물처리
1.1.1.1.2.14,6,C.I.P 천공,"토사, Φ500, 토네이도",M,1082.0,45000.0,48690000.0,토사,80,7,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > C.I.P 천공
1.1.1.1.2.15,6,C.I.P 천공,"풍화암, Φ600, 토네이도",M,71.0,60000.0,4260000.0,풍화암,80,1,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-2. CIP공사 > C.I.P 천공
1.1.1.1.3,5,1-1-3. SIDE-PILE공사,,,0.0,0.0,406341000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-3. SIDE-PILE공사
1.1.1.1.3.1,6,H-PILE 천공,"토사, Φ500",M,817.0,45000.0,36765000.0,토사,80,6,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-3. SIDE-PILE공사 > H-PILE 천공
1.1.1.1.3.2,6,H-PILE 천공,"풍화암, Φ500",M,50.0,60000.0,3000000.0,풍화암,80,1,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-3. SIDE-PILE공사 > H-PILE 천공
1.1.1.1.3.3,6,H-PILE 천공,"기반암, Φ500",M,2550.0,120000.0,306000000.0,기반암,80,16,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-3. SIDE-PILE공사 > H-PILE 천공
1.1.1.1.3.4,6,케이싱 설치 및 해체,Φ500,M,817.0,3000.0,2451000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-3. SIDE-PILE공사 > 케이싱 설치 및 해체
1.1.1.1.3.5,6,H파일항타(진동식),H-300x300x10x15,본,240.0,35000.0,8400000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-3. SIDE-PILE공사 > H파일항타(진동식)
